Timestamp,Host,Jitter(ms),Success
2025-06-17 18:02:42,RCD2AES601.mi.corp.rockfin.com,0.30,True
2025-06-17 18:02:52,RCD1AES601.mi.corp.rockfin.com,0.49,True
2025-06-17 18:03:53,RCD2AES601.mi.corp.rockfin.com,0.30,True
2025-06-17 18:04:03,RCD1AES601.mi.corp.rockfin.com,0.00,True
2025-06-17 18:05:04,RCD2AES601.mi.corp.rockfin.com,0.30,True
2025-06-17 18:05:14,RCD1AES601.mi.corp.rockfin.com,0.30,True
2025-06-17 18:06:14,RCD2AES601.mi.corp.rockfin.com,0.00,True
2025-06-17 18:06:24,RCD1AES601.mi.corp.rockfin.com,0.40,True
2025-06-17 18:15:57,RCD2AES601.mi.corp.rockfin.com,0.46,True
2025-06-17 18:16:07,RCD1AES601.mi.corp.rockfin.com,0.50,True
2025-06-17 18:23:10,RCD2AES601.mi.corp.rockfin.com,0.00,True
2025-06-17 18:23:20,RCD1AES601.mi.corp.rockfin.com,0.46,True
